onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
13	1.6	Condition_1	n/a	n/a
24	1.6	Condition_5	n/a	n/a
32	1.6	Condition_1	n/a	n/a
42	1.6	Condition_1	n/a	n/a
53	1.6	Condition_1	n/a	n/a
61	1.6	Condition_2	n/a	n/a
70	1.6	Condition_6	n/a	n/a
78	1.6	Condition_3	n/a	n/a
88	1.6	Condition_5	n/a	n/a
98	1.6	Condition_3	n/a	n/a
107	1.6	Condition_6	n/a	n/a
117	1.6	Condition_2	n/a	n/a
126	1.6	Condition_2	n/a	n/a
138	1.6	Condition_2	n/a	n/a
147	1.6	Condition_4	n/a	n/a
155	1.6	Condition_5	n/a	n/a
166	1.6	Condition_4	n/a	n/a
178	1.6	Condition_6	n/a	n/a
187	1.6	Condition_4	n/a	n/a
197	1.6	Condition_1	n/a	n/a
205	1.6	Condition_1	n/a	n/a
214	1.6	Condition_2	n/a	n/a
222	1.6	Condition_6	n/a	n/a
232	1.6	Condition_3	n/a	n/a
243	1.6	Condition_1	n/a	n/a
254	1.6	Condition_2	n/a	n/a
262	1.6	Condition_1	n/a	n/a
274	1.6	Condition_1	n/a	n/a
282	1.6	Condition_4	n/a	n/a
293	1.6	Condition_2	n/a	n/a
302	1.6	Condition_2	n/a	n/a
312	1.6	Condition_1	n/a	n/a
323	1.6	Condition_3	n/a	n/a
333	1.6	Condition_5	n/a	n/a
341	1.6	Condition_2	n/a	n/a
