onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
13	1.6	Condition_1	n/a	n/a
24	1.6	Condition_2	n/a	n/a
32	1.6	Condition_5	n/a	n/a
40	1.6	Condition_1	n/a	n/a
51	1.6	Condition_1	n/a	n/a
59	1.6	Condition_2	n/a	n/a
69	1.6	Condition_6	n/a	n/a
78	1.6	Condition_4	n/a	n/a
90	1.6	Condition_1	n/a	n/a
98	1.6	Condition_2	n/a	n/a
107	1.6	Condition_4	n/a	n/a
118	1.6	Condition_6	n/a	n/a
130	1.6	Condition_2	n/a	n/a
139	1.6	Condition_2	n/a	n/a
149	1.6	Condition_5	n/a	n/a
160	1.6	Condition_1	n/a	n/a
170	1.6	Condition_2	n/a	n/a
179	1.6	Condition_3	n/a	n/a
187	1.6	Condition_1	n/a	n/a
197	1.6	Condition_2	n/a	n/a
205	1.6	Condition_2	n/a	n/a
213	1.6	Condition_1	n/a	n/a
222	1.6	Condition_2	n/a	n/a
232	1.6	Condition_1	n/a	n/a
242	1.6	Condition_1	n/a	n/a
253	1.6	Condition_3	n/a	n/a
262	1.6	Condition_5	n/a	n/a
270	1.6	Condition_4	n/a	n/a
282	1.6	Condition_5	n/a	n/a
290	1.6	Condition_3	n/a	n/a
299	1.6	Condition_6	n/a	n/a
309	1.6	Condition_3	n/a	n/a
320	1.6	Condition_2	n/a	n/a
331	1.6	Condition_4	n/a	n/a
339	1.6	Condition_6	n/a	n/a
