onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
11	1.6	Condition_1	n/a	n/a
21	1.6	Condition_2	n/a	n/a
30	1.6	Condition_3	n/a	n/a
40	1.6	Condition_6	n/a	n/a
48	1.6	Condition_3	n/a	n/a
59	1.6	Condition_1	n/a	n/a
67	1.6	Condition_6	n/a	n/a
75	1.6	Condition_2	n/a	n/a
86	1.6	Condition_1	n/a	n/a
96	1.6	Condition_5	n/a	n/a
107	1.6	Condition_1	n/a	n/a
118	1.6	Condition_2	n/a	n/a
130	1.6	Condition_4	n/a	n/a
141	1.6	Condition_2	n/a	n/a
150	1.6	Condition_2	n/a	n/a
160	1.6	Condition_1	n/a	n/a
171	1.6	Condition_3	n/a	n/a
181	1.6	Condition_5	n/a	n/a
189	1.6	Condition_1	n/a	n/a
197	1.6	Condition_2	n/a	n/a
206	1.6	Condition_4	n/a	n/a
218	1.6	Condition_5	n/a	n/a
226	1.6	Condition_1	n/a	n/a
235	1.6	Condition_6	n/a	n/a
243	1.6	Condition_2	n/a	n/a
251	1.6	Condition_4	n/a	n/a
262	1.6	Condition_2	n/a	n/a
272	1.6	Condition_4	n/a	n/a
282	1.6	Condition_2	n/a	n/a
291	1.6	Condition_1	n/a	n/a
299	1.6	Condition_5	n/a	n/a
309	1.6	Condition_1	n/a	n/a
320	1.6	Condition_6	n/a	n/a
330	1.6	Condition_2	n/a	n/a
339	1.6	Condition_3	n/a	n/a
