onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
14	1.6	Condition_1	n/a	n/a
26	1.6	Condition_1	n/a	n/a
35	1.6	Condition_4	n/a	n/a
43	1.6	Condition_2	n/a	n/a
54	1.6	Condition_5	n/a	n/a
64	1.6	Condition_1	n/a	n/a
75	1.6	Condition_2	n/a	n/a
83	1.6	Condition_6	n/a	n/a
93	1.6	Condition_3	n/a	n/a
102	1.6	Condition_4	n/a	n/a
110	1.6	Condition_1	n/a	n/a
122	1.6	Condition_2	n/a	n/a
130	1.6	Condition_3	n/a	n/a
139	1.6	Condition_1	n/a	n/a
149	1.6	Condition_6	n/a	n/a
157	1.6	Condition_1	n/a	n/a
166	1.6	Condition_2	n/a	n/a
176	1.6	Condition_3	n/a	n/a
187	1.6	Condition_2	n/a	n/a
195	1.6	Condition_1	n/a	n/a
205	1.6	Condition_1	n/a	n/a
214	1.6	Condition_2	n/a	n/a
222	1.6	Condition_2	n/a	n/a
232	1.6	Condition_6	n/a	n/a
240	1.6	Condition_2	n/a	n/a
250	1.6	Condition_5	n/a	n/a
261	1.6	Condition_6	n/a	n/a
269	1.6	Condition_4	n/a	n/a
277	1.6	Condition_5	n/a	n/a
288	1.6	Condition_1	n/a	n/a
299	1.6	Condition_4	n/a	n/a
310	1.6	Condition_3	n/a	n/a
320	1.6	Condition_5	n/a	n/a
330	1.6	Condition_2	n/a	n/a
339	1.6	Condition_1	n/a	n/a
