onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
14	1.6	Condition_1	n/a	n/a
22	1.6	Condition_6	n/a	n/a
30	1.6	Condition_4	n/a	n/a
40	1.6	Condition_3	n/a	n/a
50	1.6	Condition_1	n/a	n/a
61	1.6	Condition_2	n/a	n/a
72	1.6	Condition_1	n/a	n/a
83	1.6	Condition_6	n/a	n/a
93	1.6	Condition_2	n/a	n/a
102	1.6	Condition_1	n/a	n/a
110	1.6	Condition_2	n/a	n/a
120	1.6	Condition_2	n/a	n/a
130	1.6	Condition_6	n/a	n/a
138	1.6	Condition_1	n/a	n/a
147	1.6	Condition_4	n/a	n/a
157	1.6	Condition_1	n/a	n/a
165	1.6	Condition_5	n/a	n/a
176	1.6	Condition_2	n/a	n/a
186	1.6	Condition_5	n/a	n/a
197	1.6	Condition_4	n/a	n/a
206	1.6	Condition_2	n/a	n/a
218	1.6	Condition_5	n/a	n/a
226	1.6	Condition_3	n/a	n/a
235	1.6	Condition_6	n/a	n/a
245	1.6	Condition_3	n/a	n/a
256	1.6	Condition_2	n/a	n/a
264	1.6	Condition_1	n/a	n/a
272	1.6	Condition_2	n/a	n/a
283	1.6	Condition_1	n/a	n/a
293	1.6	Condition_5	n/a	n/a
302	1.6	Condition_4	n/a	n/a
312	1.6	Condition_2	n/a	n/a
320	1.6	Condition_1	n/a	n/a
330	1.6	Condition_1	n/a	n/a
341	1.6	Condition_3	n/a	n/a
