onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
11	1.6	Condition_2	n/a	n/a
21	1.6	Condition_1	n/a	n/a
32	1.6	Condition_3	n/a	n/a
40	1.6	Condition_5	n/a	n/a
51	1.6	Condition_1	n/a	n/a
62	1.6	Condition_6	n/a	n/a
74	1.6	Condition_2	n/a	n/a
82	1.6	Condition_1	n/a	n/a
93	1.6	Condition_1	n/a	n/a
102	1.6	Condition_2	n/a	n/a
114	1.6	Condition_4	n/a	n/a
123	1.6	Condition_1	n/a	n/a
133	1.6	Condition_5	n/a	n/a
144	1.6	Condition_2	n/a	n/a
154	1.6	Condition_3	n/a	n/a
163	1.6	Condition_2	n/a	n/a
171	1.6	Condition_3	n/a	n/a
181	1.6	Condition_6	n/a	n/a
189	1.6	Condition_2	n/a	n/a
200	1.6	Condition_2	n/a	n/a
210	1.6	Condition_2	n/a	n/a
219	1.6	Condition_4	n/a	n/a
230	1.6	Condition_1	n/a	n/a
240	1.6	Condition_5	n/a	n/a
250	1.6	Condition_1	n/a	n/a
258	1.6	Condition_6	n/a	n/a
266	1.6	Condition_1	n/a	n/a
274	1.6	Condition_4	n/a	n/a
282	1.6	Condition_1	n/a	n/a
290	1.6	Condition_2	n/a	n/a
301	1.6	Condition_5	n/a	n/a
310	1.6	Condition_4	n/a	n/a
320	1.6	Condition_6	n/a	n/a
330	1.6	Condition_1	n/a	n/a
339	1.6	Condition_3	n/a	n/a
