onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
15	1.6	Condition_6	n/a	n/a
25	1.6	Condition_2	n/a	n/a
35	1.6	Condition_3	n/a	n/a
45	1.6	Condition_2	n/a	n/a
56	1.6	Condition_4	n/a	n/a
66	1.6	Condition_1	n/a	n/a
76	1.6	Condition_5	n/a	n/a
87	1.6	Condition_2	n/a	n/a
97	1.6	Condition_1	n/a	n/a
109	1.6	Condition_1	n/a	n/a
117	1.6	Condition_2	n/a	n/a
129	1.6	Condition_5	n/a	n/a
140	1.6	Condition_1	n/a	n/a
148	1.6	Condition_6	n/a	n/a
158	1.6	Condition_2	n/a	n/a
168	1.6	Condition_1	n/a	n/a
177	1.6	Condition_4	n/a	n/a
185	1.6	Condition_5	n/a	n/a
195	1.6	Condition_3	n/a	n/a
206	1.6	Condition_2	n/a	n/a
216	1.6	Condition_6	n/a	n/a
226	1.6	Condition_5	n/a	n/a
236	1.6	Condition_4	n/a	n/a
244	1.6	Condition_1	n/a	n/a
254	1.6	Condition_6	n/a	n/a
266	1.6	Condition_1	n/a	n/a
274	1.6	Condition_2	n/a	n/a
282	1.6	Condition_1	n/a	n/a
290	1.6	Condition_3	n/a	n/a
299	1.6	Condition_2	n/a	n/a
310	1.6	Condition_3	n/a	n/a
320	1.6	Condition_1	n/a	n/a
330	1.6	Condition_4	n/a	n/a
338	1.6	Condition_1	n/a	n/a
350	1.6	Condition_2	n/a	n/a
