onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
15	1.6	Condition_2	n/a	n/a
26	1.6	Condition_1	n/a	n/a
36	1.6	Condition_2	n/a	n/a
48	1.6	Condition_6	n/a	n/a
58	1.6	Condition_1	n/a	n/a
68	1.6	Condition_2	n/a	n/a
76	1.6	Condition_5	n/a	n/a
84	1.6	Condition_2	n/a	n/a
94	1.6	Condition_1	n/a	n/a
104	1.6	Condition_6	n/a	n/a
112	1.6	Condition_3	n/a	n/a
120	1.6	Condition_2	n/a	n/a
130	1.6	Condition_1	n/a	n/a
142	1.6	Condition_1	n/a	n/a
153	1.6	Condition_5	n/a	n/a
165	1.6	Condition_2	n/a	n/a
175	1.6	Condition_6	n/a	n/a
186	1.6	Condition_2	n/a	n/a
196	1.6	Condition_5	n/a	n/a
208	1.6	Condition_4	n/a	n/a
219	1.6	Condition_1	n/a	n/a
231	1.6	Condition_3	n/a	n/a
239	1.6	Condition_4	n/a	n/a
249	1.6	Condition_3	n/a	n/a
259	1.6	Condition_5	n/a	n/a
267	1.6	Condition_1	n/a	n/a
277	1.6	Condition_4	n/a	n/a
287	1.6	Condition_1	n/a	n/a
297	1.6	Condition_2	n/a	n/a
305	1.6	Condition_6	n/a	n/a
315	1.6	Condition_4	n/a	n/a
325	1.6	Condition_2	n/a	n/a
333	1.6	Condition_2	n/a	n/a
343	1.6	Condition_3	n/a	n/a
351	1.6	Condition_1	n/a	n/a
