onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
12	1.6	Condition_2	n/a	n/a
23	1.6	Condition_4	n/a	n/a
33	1.6	Condition_3	n/a	n/a
43	1.6	Condition_5	n/a	n/a
53	1.6	Condition_1	n/a	n/a
61	1.6	Condition_5	n/a	n/a
69	1.6	Condition_1	n/a	n/a
78	1.6	Condition_6	n/a	n/a
86	1.6	Condition_1	n/a	n/a
96	1.6	Condition_5	n/a	n/a
104	1.6	Condition_2	n/a	n/a
114	1.6	Condition_6	n/a	n/a
125	1.6	Condition_1	n/a	n/a
135	1.6	Condition_6	n/a	n/a
147	1.6	Condition_2	n/a	n/a
157	1.6	Condition_3	n/a	n/a
165	1.6	Condition_2	n/a	n/a
175	1.6	Condition_4	n/a	n/a
186	1.6	Condition_1	n/a	n/a
196	1.6	Condition_2	n/a	n/a
206	1.6	Condition_2	n/a	n/a
214	1.6	Condition_4	n/a	n/a
226	1.6	Condition_1	n/a	n/a
234	1.6	Condition_3	n/a	n/a
243	1.6	Condition_1	n/a	n/a
254	1.6	Condition_2	n/a	n/a
266	1.6	Condition_3	n/a	n/a
277	1.6	Condition_2	n/a	n/a
287	1.6	Condition_1	n/a	n/a
299	1.6	Condition_5	n/a	n/a
310	1.6	Condition_6	n/a	n/a
320	1.6	Condition_4	n/a	n/a
330	1.6	Condition_2	n/a	n/a
340	1.6	Condition_1	n/a	n/a
350	1.6	Condition_2	n/a	n/a
