onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
11	1.6	Condition_1	n/a	n/a
19	1.6	Condition_2	n/a	n/a
30	1.6	Condition_4	n/a	n/a
40	1.6	Condition_1	n/a	n/a
50	1.6	Condition_2	n/a	n/a
59	1.6	Condition_1	n/a	n/a
69	1.6	Condition_4	n/a	n/a
78	1.6	Condition_1	n/a	n/a
86	1.6	Condition_6	n/a	n/a
98	1.6	Condition_2	n/a	n/a
109	1.6	Condition_1	n/a	n/a
118	1.6	Condition_6	n/a	n/a
130	1.6	Condition_3	n/a	n/a
141	1.6	Condition_1	n/a	n/a
150	1.6	Condition_5	n/a	n/a
158	1.6	Condition_2	n/a	n/a
168	1.6	Condition_3	n/a	n/a
176	1.6	Condition_2	n/a	n/a
187	1.6	Condition_5	n/a	n/a
195	1.6	Condition_4	n/a	n/a
205	1.6	Condition_5	n/a	n/a
214	1.6	Condition_4	n/a	n/a
224	1.6	Condition_2	n/a	n/a
235	1.6	Condition_2	n/a	n/a
246	1.6	Condition_2	n/a	n/a
254	1.6	Condition_5	n/a	n/a
262	1.6	Condition_1	n/a	n/a
274	1.6	Condition_1	n/a	n/a
283	1.6	Condition_3	n/a	n/a
293	1.6	Condition_2	n/a	n/a
304	1.6	Condition_6	n/a	n/a
312	1.6	Condition_3	n/a	n/a
320	1.6	Condition_1	n/a	n/a
330	1.6	Condition_2	n/a	n/a
339	1.6	Condition_6	n/a	n/a
