onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
13	1.6	Condition_1	n/a	n/a
22	1.6	Condition_3	n/a	n/a
32	1.6	Condition_1	n/a	n/a
42	1.6	Condition_2	n/a	n/a
51	1.6	Condition_6	n/a	n/a
59	1.6	Condition_1	n/a	n/a
67	1.6	Condition_1	n/a	n/a
78	1.6	Condition_1	n/a	n/a
86	1.6	Condition_3	n/a	n/a
98	1.6	Condition_1	n/a	n/a
107	1.6	Condition_4	n/a	n/a
117	1.6	Condition_5	n/a	n/a
125	1.6	Condition_4	n/a	n/a
134	1.6	Condition_3	n/a	n/a
142	1.6	Condition_2	n/a	n/a
150	1.6	Condition_6	n/a	n/a
160	1.6	Condition_5	n/a	n/a
170	1.6	Condition_1	n/a	n/a
179	1.6	Condition_4	n/a	n/a
189	1.6	Condition_2	n/a	n/a
200	1.6	Condition_6	n/a	n/a
210	1.6	Condition_1	n/a	n/a
218	1.6	Condition_2	n/a	n/a
227	1.6	Condition_2	n/a	n/a
238	1.6	Condition_1	n/a	n/a
250	1.6	Condition_2	n/a	n/a
261	1.6	Condition_2	n/a	n/a
269	1.6	Condition_2	n/a	n/a
280	1.6	Condition_5	n/a	n/a
290	1.6	Condition_2	n/a	n/a
301	1.6	Condition_3	n/a	n/a
312	1.6	Condition_2	n/a	n/a
323	1.6	Condition_4	n/a	n/a
333	1.6	Condition_6	n/a	n/a
341	1.6	Condition_5	n/a	n/a
