onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
15	1.6	Condition_1	n/a	n/a
25	1.6	Condition_3	n/a	n/a
35	1.6	Condition_5	n/a	n/a
46	1.6	Condition_1	n/a	n/a
54	1.6	Condition_2	n/a	n/a
63	1.6	Condition_1	n/a	n/a
74	1.6	Condition_2	n/a	n/a
83	1.6	Condition_3	n/a	n/a
94	1.6	Condition_2	n/a	n/a
106	1.6	Condition_4	n/a	n/a
114	1.6	Condition_1	n/a	n/a
124	1.6	Condition_6	n/a	n/a
134	1.6	Condition_4	n/a	n/a
142	1.6	Condition_6	n/a	n/a
152	1.6	Condition_4	n/a	n/a
162	1.6	Condition_2	n/a	n/a
173	1.6	Condition_2	n/a	n/a
182	1.6	Condition_4	n/a	n/a
191	1.6	Condition_1	n/a	n/a
201	1.6	Condition_5	n/a	n/a
210	1.6	Condition_2	n/a	n/a
219	1.6	Condition_1	n/a	n/a
229	1.6	Condition_1	n/a	n/a
239	1.6	Condition_2	n/a	n/a
251	1.6	Condition_6	n/a	n/a
262	1.6	Condition_1	n/a	n/a
271	1.6	Condition_5	n/a	n/a
281	1.6	Condition_3	n/a	n/a
292	1.6	Condition_5	n/a	n/a
302	1.6	Condition_1	n/a	n/a
310	1.6	Condition_2	n/a	n/a
322	1.6	Condition_3	n/a	n/a
330	1.6	Condition_1	n/a	n/a
340	1.6	Condition_6	n/a	n/a
350	1.6	Condition_2	n/a	n/a
