onset	duration	trial_type	response_time	button
3	1.6	Condition_1	n/a	n/a
13	1.6	Condition_3	n/a	n/a
21	1.6	Condition_1	n/a	n/a
31	1.6	Condition_2	n/a	n/a
43	1.6	Condition_5	n/a	n/a
53	1.6	Condition_2	n/a	n/a
61	1.6	Condition_1	n/a	n/a
73	1.6	Condition_1	n/a	n/a
81	1.6	Condition_4	n/a	n/a
91	1.6	Condition_6	n/a	n/a
102	1.6	Condition_1	n/a	n/a
111	1.6	Condition_5	n/a	n/a
119	1.6	Condition_3	n/a	n/a
129	1.6	Condition_2	n/a	n/a
139	1.6	Condition_3	n/a	n/a
147	1.6	Condition_6	n/a	n/a
155	1.6	Condition_2	n/a	n/a
167	1.6	Condition_2	n/a	n/a
177	1.6	Condition_5	n/a	n/a
188	1.6	Condition_2	n/a	n/a
198	1.6	Condition_4	n/a	n/a
210	1.6	Condition_3	n/a	n/a
219	1.6	Condition_6	n/a	n/a
229	1.6	Condition_1	n/a	n/a
239	1.6	Condition_5	n/a	n/a
251	1.6	Condition_6	n/a	n/a
261	1.6	Condition_2	n/a	n/a
272	1.6	Condition_4	n/a	n/a
282	1.6	Condition_1	n/a	n/a
290	1.6	Condition_2	n/a	n/a
300	1.6	Condition_1	n/a	n/a
310	1.6	Condition_4	n/a	n/a
322	1.6	Condition_2	n/a	n/a
333	1.6	Condition_1	n/a	n/a
342	1.6	Condition_2	n/a	n/a
350	1.6	Condition_1	n/a	n/a
