onset	duration	trial_type	response_time	button
3	1.6	Condition_5	n/a	n/a
13	1.6	Condition_2	n/a	n/a
23	1.6	Condition_6	n/a	n/a
31	1.6	Condition_2	n/a	n/a
40	1.6	Condition_1	n/a	n/a
49	1.6	Condition_2	n/a	n/a
59	1.6	Condition_1	n/a	n/a
71	1.6	Condition_2	n/a	n/a
82	1.6	Condition_1	n/a	n/a
94	1.6	Condition_4	n/a	n/a
104	1.6	Condition_3	n/a	n/a
112	1.6	Condition_2	n/a	n/a
122	1.6	Condition_3	n/a	n/a
132	1.6	Condition_1	n/a	n/a
144	1.6	Condition_5	n/a	n/a
155	1.6	Condition_2	n/a	n/a
163	1.6	Condition_1	n/a	n/a
173	1.6	Condition_4	n/a	n/a
183	1.6	Condition_2	n/a	n/a
191	1.6	Condition_2	n/a	n/a
203	1.6	Condition_1	n/a	n/a
214	1.6	Condition_6	n/a	n/a
226	1.6	Condition_1	n/a	n/a
234	1.6	Condition_4	n/a	n/a
246	1.6	Condition_2	n/a	n/a
256	1.6	Condition_6	n/a	n/a
266	1.6	Condition_2	n/a	n/a
274	1.6	Condition_5	n/a	n/a
282	1.6	Condition_3	n/a	n/a
292	1.6	Condition_5	n/a	n/a
300	1.6	Condition_6	n/a	n/a
310	1.6	Condition_1	n/a	n/a
320	1.6	Condition_4	n/a	n/a
328	1.6	Condition_1	n/a	n/a
340	1.6	Condition_3	n/a	n/a
350	1.6	Condition_1	n/a	n/a
