onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
11	1.6	Condition_1	n/a	n/a
22	1.6	Condition_1	n/a	n/a
32	1.6	Condition_1	n/a	n/a
43	1.6	Condition_2	n/a	n/a
54	1.6	Condition_4	n/a	n/a
64	1.6	Condition_5	n/a	n/a
74	1.6	Condition_2	n/a	n/a
85	1.6	Condition_1	n/a	n/a
93	1.6	Condition_6	n/a	n/a
102	1.6	Condition_3	n/a	n/a
112	1.6	Condition_6	n/a	n/a
122	1.6	Condition_4	n/a	n/a
133	1.6	Condition_6	n/a	n/a
141	1.6	Condition_1	n/a	n/a
152	1.6	Condition_2	n/a	n/a
162	1.6	Condition_6	n/a	n/a
173	1.6	Condition_3	n/a	n/a
184	1.6	Condition_5	n/a	n/a
194	1.6	Condition_4	n/a	n/a
202	1.6	Condition_2	n/a	n/a
211	1.6	Condition_2	n/a	n/a
219	1.6	Condition_3	n/a	n/a
229	1.6	Condition_1	n/a	n/a
237	1.6	Condition_2	n/a	n/a
246	1.6	Condition_2	n/a	n/a
258	1.6	Condition_1	n/a	n/a
267	1.6	Condition_5	n/a	n/a
277	1.6	Condition_2	n/a	n/a
285	1.6	Condition_2	n/a	n/a
293	1.6	Condition_5	n/a	n/a
302	1.6	Condition_3	n/a	n/a
310	1.6	Condition_1	n/a	n/a
320	1.6	Condition_1	n/a	n/a
330	1.6	Condition_1	n/a	n/a
338	1.6	Condition_4	n/a	n/a
