onset	duration	trial_type	response_time	button
3	1.6	Condition_2	n/a	n/a
13	1.6	Condition_2	n/a	n/a
22	1.6	Condition_3	n/a	n/a
34	1.6	Condition_6	n/a	n/a
45	1.6	Condition_1	n/a	n/a
54	1.6	Condition_2	n/a	n/a
66	1.6	Condition_4	n/a	n/a
74	1.6	Condition_2	n/a	n/a
82	1.6	Condition_2	n/a	n/a
90	1.6	Condition_3	n/a	n/a
99	1.6	Condition_5	n/a	n/a
110	1.6	Condition_3	n/a	n/a
122	1.6	Condition_5	n/a	n/a
130	1.6	Condition_2	n/a	n/a
141	1.6	Condition_1	n/a	n/a
150	1.6	Condition_4	n/a	n/a
158	1.6	Condition_5	n/a	n/a
168	1.6	Condition_4	n/a	n/a
178	1.6	Condition_6	n/a	n/a
187	1.6	Condition_3	n/a	n/a
197	1.6	Condition_6	n/a	n/a
208	1.6	Condition_2	n/a	n/a
218	1.6	Condition_1	n/a	n/a
226	1.6	Condition_1	n/a	n/a
237	1.6	Condition_2	n/a	n/a
246	1.6	Condition_5	n/a	n/a
254	1.6	Condition_4	n/a	n/a
262	1.6	Condition_6	n/a	n/a
272	1.6	Condition_1	n/a	n/a
282	1.6	Condition_1	n/a	n/a
291	1.6	Condition_2	n/a	n/a
299	1.6	Condition_1	n/a	n/a
310	1.6	Condition_1	n/a	n/a
320	1.6	Condition_1	n/a	n/a
331	1.6	Condition_2	n/a	n/a
339	1.6	Condition_1	n/a	n/a
